id,name,brand,note,default_unit,serving_size_g,kcal_per_100g,carbs_per_100g,fat_per_100g,protein_per_100g,sugars_per_100g,fiber_per_100g,salt_per_100g
food-bacon-izu-chips-tesco,bacon ízű chips,Tesco,Csomagolt chips; a pontos érték íz/márka szerint változhat.,g,150,542,49,35,5.5,2.6,4.4,0
food-hamburger-zsomle-penny-1db-50g,hamburger zsömle,Penny,1 db kb. 50 g-os hamburger zsemle.,g,50,272,47,5,8.5,0,0,0
food-hamburger-hus-penny-1db-50g,hamburger hús,Penny,1 db kb. 50 g-os hamburger húspogácsa.,g,50,236,7.1,17,13,0,0,0
food-lapka-sajt-gouda-penny-1db-20g,lapka sajt Gouda,Penny,1 db szelet kb. 20 g.,g,20,337,0.5,27,23,0,0,0
food-zoldbabfozelek-hazi-becsult-kaloriabazis-alapjan,zöldbabfőzelék,"házi, becsült",Házi főzelék becslés; habarás/tejföl mennyisége erősen módosítja.,g,,55,5,3,1,0,1.72,0
food-virsli-becsult-1db-50g,"virsli (becsült, 1 db = 50 g)","ismeretlen, becsült",Címke alapján később frissítendő; 1 db kb. 50 g.,g,50,260,2,22,12,0.5,0,2
food-palacsinta-hazi-1db-55g-becsult,palacsinta házi (1 db = 55 g),"házi, becsült","1 db vékony, töltelék nélküli palacsinta becsült tömege 55 g; töltelék nélkül számolva.",g,55,227,32,8,6.5,4,1,0.45
food-hagymaleves-hazi-becsult,hagymaleves,"házi, becsült",Klasszikus hagymaleves becslés sajtkruton nélkül; sajtos pirítóssal külön számold.,g,300,45,5,2,1,2.5,1,0.75
food-kaposztashus-szekelykaposzta-hazi-becsult,káposztáshús / székelykáposzta,"házi, becsült",Sertéshúsos savanyú káposztás étel becslés; tejföl és hús zsírossága sokat számít.,g,350,120,4,7,8,2,2.2,1.1
food-gyros-hus-csirke-olajban-becsult,gyros hús csirke olajban,"házi/gyorséttermi, becsült","Csirke gyros hús olajban sütve, köret és szósz nélkül.",g,150,220,2,12,25,0.5,0,1.4
food-sultkrumpli-aldi-all-seasons-25kg-100g,sültkrumpli Aldi All Seasons hasábburgonya,ALDI All Seasons,"2.5 kg-os kiszerelés; 100 g termékre rögzítve, nem 1 adag.",g,100,161,24,6,2.5,0.5,2.2,0.5
food-mcdonalds-hamburger-1db-95g,McDonald's Hamburger marhahúsos (1 db),McDonald's,Magyarországi hivatalos oldal alapján 1 db Hamburger 248 kcal; 95 g becsült adaggal számolva.,g,95,261,31,9.5,13,6,2,1.3
food-mcdonalds-chickenburger-1db-129g,McDonald's Chickenburger csirkehúsos (1 db),McDonald's,Magyarországi hivatalos oldal alapján 1 db Chickenburger 307 kcal; 129 g becsült adaggal számolva.,g,129,238,30,10,10,4,2,1.4
food-mcdonalds-hasabburgonya-kicsi-80g,McDonald's hasábburgonya kicsi (80 g),McDonald's,Magyarországi hivatalos oldal alapján kis burgonya 80 g / 231 kcal.,g,80,289,36,14,3.6,0.4,3.6,0.65
food-mcdonalds-hasabburgonya-kozepes-114g,McDonald's hasábburgonya közepes (114 g),McDonald's,Magyarországi hivatalos oldal alapján közepes burgonya 114 g / 329 kcal.,g,114,289,36,14,3.6,0.4,3.6,0.65
food-mcdonalds-hasabburgonya-nagy-150g,McDonald's hasábburgonya nagy (150 g),McDonald's,Magyarországi hivatalos oldal alapján nagy burgonya 150 g / 434 kcal.,g,150,289,36,14,3.6,0.4,3.6,0.65
food-sertesporkolt-hazi-becsult,sertéspörkölt,"házi, becsült",Nokedli/tészta nélkül; hús zsírossága és szaft mennyisége sokat változtat.,g,250,170,3,12,13,1.5,0.7,1.1
food-csirkeporkolt-hazi-becsult,csirkepörkölt,"házi, becsült",Nokedli/tészta nélkül; bőrrel/bőr nélkül jelentősen eltérhet.,g,250,130,3,6,16,1.5,0.7,1
food-tokany-hazi-becsult,tokány,"házi, becsült",Sertés vagy marha tokány általános becslés köret nélkül.,g,250,160,4,10,14,1.5,0.8,1
food-teszta-4-tojasos-szaraz,tészta 4 tojásos száraz,általános,Száraz 4 tojásos tészta 100 g-ra; főtt állapotban a vízfelvétel miatt kcal/100 g alacsonyabb.,g,100,358,70,2.5,13,2.5,3,0.05
food-nokedli-hazi-becsult,nokedli,"házi, becsült","Főtt nokedli becslés, pörkölt mellé gyakori köret.",g,200,165,31,2.5,5,0.5,1.2,0.4
food-langos-sima-hazi-becsult,lángos sima,"házi/piaci, becsült",Feltét nélkül; tejföl/sajt/fokhagyma külön számolandó.,g,180,310,39,14,7,1.5,2,1.2
food-rakott-krumpli-hazi-becsult,rakott krumpli,"házi, becsült",Kolbászos-tejfölös házi verzió átlagos becslése.,g,350,165,13,10,6,2,1.3,1
food-toltott-kaposzta-hazi-becsult,töltött káposzta,"házi, becsült",1 adag szósz/tejföl nélkül vagy kevés tejföllel; receptektől erősen függ.,g,300,145,8,8,10,2,2.5,1.2
food-gulyasleves-hazi-becsult,gulyásleves,"házi, becsült",Levesesebb házi verzió; kenyér nélkül.,g,400,70,7,3,5,2,1.5,0.9
food-husleves-csirke-becsult,húsleves csirkével,"házi, becsült",Tészta nélkül számolva; levesbetétet külön add hozzá.,g,350,35,1.5,1.5,4,0.8,0.5,0.8
food-lecso-kolbasz-nelkul-becsult,lecsó kolbász nélkül,"házi, becsült",Tojás és kolbász nélküli alap lecsó; olaj mennyisége sokat számít.,g,250,60,7,3,2,5,2,0.7
food-brassoi-apropecsenye-hazi-becsult,brassói aprópecsenye,"házi, becsült",Sertéshússal és sült krumplival egyben számolt átlagos adagérték 100 g-ra.,g,350,190,17,10,9,1,1.5,1
food-rantott-sajt-olajban-becsult,rántott sajt olajban,"házi/éttermi, becsült","Panírozott, olajban sült sajt köret nélkül.",g,120,360,18,24,18,1,1,1.4
food-turos-csusza-hazi-becsult,túrós csusza,"házi, becsült",Szalonnás-tejfölös házi verzió átlagos becslése.,g,300,220,25,10,8,3,1.5,0.7
food-paprikas-krumpli-hazi-becsult,paprikás krumpli,"házi, becsült",Kolbászos verzió átlagos becslés; kenyér nélkül.,g,350,105,14,4,4,2,2,0.9
food-fasirt-sertes-hazi-becsult,fasírt sertés,"házi, becsült","Olajban sült házi fasírt, köret nélkül.",g,80,260,9,18,15,1,1,1.1
food-tojasrantotta-2-tojas-becsult,tojásrántotta 2 tojásból,"házi, becsült",2 tojás kevés zsiradékkal; 1 adag kb. 120 g.,g,120,190,1.5,14,13,1,0,0.4
food-zsemle-feher-1db-55g,zsemle fehér (1 db = 55 g),általános,Átlagos fehér zsemle; 1 db kb. 55 g.,g,55,270,53,2.5,8.5,3,2.5,1.2
food-kenyer-feher,kenyér fehér,általános,Átlagos fehér kenyér 100 g-ra.,g,40,255,49,3,8.5,3,2.7,1.2
